,productmodelid,productdescriptionid,cultureid,modifieddate
540,91,909,en,2013-04-30 00:00:00
541,91,1445,ar,2013-04-30 00:00:00
542,91,1567,fr,2013-04-30 00:00:00
543,91,1690,th,2013-04-30 00:00:00
544,91,1821,he,2013-04-30 00:00:00
545,91,1942,zh-cht,2013-04-30 00:00:00
546,92,912,en,2013-04-30 00:00:00
547,92,1446,ar,2013-04-30 00:00:00
548,92,1568,fr,2013-04-30 00:00:00
549,92,1691,th,2013-04-30 00:00:00
550,92,1822,he,2013-04-30 00:00:00
551,92,1943,zh-cht,2013-04-30 00:00:00
552,93,913,en,2013-04-30 00:00:00
553,93,1447,ar,2013-04-30 00:00:00
554,93,1569,fr,2013-04-30 00:00:00
555,93,1692,th,2013-04-30 00:00:00
556,93,1823,he,2013-04-30 00:00:00
557,93,1944,zh-cht,2013-04-30 00:00:00
558,94,914,en,2013-04-30 00:00:00
559,94,1448,ar,2013-04-30 00:00:00
560,94,1570,fr,2013-04-30 00:00:00
561,94,1693,th,2013-04-30 00:00:00
562,94,1824,he,2013-04-30 00:00:00
563,94,1945,zh-cht,2013-04-30 00:00:00
564,95,3,en,2013-04-30 00:00:00
565,95,1360,ar,2013-04-30 00:00:00
566,95,1484,fr,2013-04-30 00:00:00
567,95,1606,th,2013-04-30 00:00:00
568,95,1728,he,2013-04-30 00:00:00
569,95,1855,zh-cht,2013-04-30 00:00:00
570,96,4,en,2013-04-30 00:00:00
571,96,1361,ar,2013-04-30 00:00:00
572,96,1485,fr,2013-04-30 00:00:00
573,96,1607,th,2013-04-30 00:00:00
574,96,1729,he,2013-04-30 00:00:00
575,96,1856,zh-cht,2013-04-30 00:00:00
576,97,5,en,2013-04-30 00:00:00
577,97,1362,ar,2013-04-30 00:00:00
578,97,1486,fr,2013-04-30 00:00:00
579,97,1608,th,2013-04-30 00:00:00
580,97,1730,he,2013-04-30 00:00:00
581,97,1857,zh-cht,2013-04-30 00:00:00
582,98,613,en,2013-04-30 00:00:00
583,98,1388,ar,2013-04-30 00:00:00
584,98,1505,fr,2013-04-30 00:00:00
585,98,1627,th,2013-04-30 00:00:00
586,98,1750,he,2013-04-30 00:00:00
587,98,1876,zh-cht,2013-04-30 00:00:00
588,99,618,en,2013-04-30 00:00:00
589,99,1389,ar,2013-04-30 00:00:00
590,99,1506,fr,2013-04-30 00:00:00
591,99,1628,th,2013-04-30 00:00:00
592,99,1751,he,2013-04-30 00:00:00
593,99,1877,zh-cht,2013-04-30 00:00:00
594,100,619,en,2013-04-30 00:00:00
595,100,1390,ar,2013-04-30 00:00:00
596,100,1507,fr,2013-04-30 00:00:00
597,100,1629,th,2013-04-30 00:00:00
598,100,1752,he,2013-04-30 00:00:00
599,100,1878,zh-cht,2013-04-30 00:00:00
600,101,620,en,2013-04-30 00:00:00
601,101,1391,ar,2013-04-30 00:00:00
602,101,1508,fr,2013-04-30 00:00:00
603,101,1630,th,2013-04-30 00:00:00
604,101,1753,he,2013-04-30 00:00:00
605,101,1879,zh-cht,2013-04-30 00:00:00
606,102,627,en,2013-04-30 00:00:00
607,102,1392,ar,2013-04-30 00:00:00
608,102,1509,fr,2013-04-30 00:00:00
609,102,1631,th,2013-04-30 00:00:00
