productdescriptionid,description,rowguid,modifieddate
688,High-performance mountain replacement wheel.,d42f33d8-59a8-4a69-9a5b-970fc4d8f745,2013-04-30 00:00:00
689,Replacement road front wheel for entry-level cyclist.,092782ab-1a5e-464b-9819-ad8e240caa31,2013-04-30 00:00:00
690,Sturdy alloy features a quick-release hub.,de38fbd2-7fa8-4a53-9e68-7698b85c6745,2013-04-30 00:00:00
691,Strong wheel with double-walled rim.,26ab2ed2-d091-4a0a-8185-e9fef31e07d4,2013-04-30 00:00:00
692,Aerodynamic rims for smooth riding.,b7dd5fbe-0fe5-4823-9587-93e434c8d54b,2013-04-30 00:00:00
697,All-purpose bar for on or off-road.,588e01b9-b814-4c24-9fa8-13426bce8015,2013-04-30 00:00:00
698,Tough aluminum alloy bars for downhill.,11f00c5f-7368-4705-92af-58d1e82c08c6,2013-04-30 00:00:00
699,Flat bar strong enough for the pro circuit.,c0e9be9d-2fa1-423e-885b-d09b94d46a5e,2013-04-30 00:00:00
700,Unique shape provides easier reach to the levers.,30b6f312-1716-4af2-88cf-ec63fc047b18,2013-04-30 00:00:00
701,Anatomically shaped aluminum tube bar will suit all riders.,04945427-a874-48f4-9d65-140edf814ccc,2013-04-30 00:00:00
702,Designed for racers; high-end anatomically shaped bar from aluminum alloy.,1da8faeb-2f2e-43b7-b869-9fce371b8409,2013-04-30 00:00:00
703,Unique shape reduces fatigue for entry level riders.,89e10dbb-ce1f-43a7-bae3-579447fb6ee4,2013-04-30 00:00:00
704,A light yet stiff aluminum bar for long distance riding.,da790b2b-8aad-485b-b1a9-ccbed7d1d09d,2013-04-30 00:00:00
744,Threadless headset provides quality at an economical price.,438b7135-8104-4e80-942b-e4b9441ab8da,2013-04-30 00:00:00
745,Sealed cartridge keeps dirt out.,0b1c704b-d91a-432e-897c-54633c7f0748,2013-04-30 00:00:00
746,High-quality 1 threadless headset with a grease port for quick lubrication.,584c3390-088a-4995-8e6d-1f7fa08c1675,2013-04-30 00:00:00
847,Expanded platform so you can ride in any shoes; great for all-around riding.,509c5517-89e3-4a06-bda2-e3892a868c09,2013-04-30 00:00:00
848,"Lightweight, durable, clipless pedal with adjustable tension.",03acbb19-749a-48a1-b77e-5d2a48e8dc3a,2013-04-30 00:00:00
849,Stainless steel; designed to shed mud easily.,dad9fd48-510c-46cb-95e5-77eac3472976,2013-04-30 00:00:00
850,Clipless pedals - aluminum.,3643c62a-b4f2-4bfc-ab03-40486c3d0ff9,2013-04-30 00:00:00
851,Lightweight aluminum alloy construction.,0b605de4-ff6b-40ba-9a5d-d4d6211cd07e,2013-04-30 00:00:00
852,Top-of-the-line clipless pedals with adjustable tension.,41c6ce78-b089-4e0b-9b91-e57a6bb010dc,2013-04-30 00:00:00
853,A stable pedal for all-day riding.,fd705716-8e54-4896-9b86-afbdaa6f9759,2013-04-30 00:00:00
856,Refillable shoes; polished aluminum calipers.,87cca1c1-9502-4f58-a8c7-e920220fa106,2013-04-30 00:00:00
858,10-speed aluminum derailleur with sealed pulley bearings.,e2dd66ad-6115-4c94-9884-cec7466bcf6c,2013-04-30 00:00:00
867,Replacement rear mountain wheel for entry-level rider.,21680b71-10be-4672-92a8-6663f38a76b0,2013-04-30 00:00:00
868,Replacement rear mountain wheel for the casual to serious rider.,d316c44e-d714-4fb8-a4ba-a2fe6fc029c8,2013-04-30 00:00:00
869,Extra-strong rims guarantee durability.,963410ee-29ac-4e6b-8aea-1a40e3f04cd6,2013-04-30 00:00:00
870,Replacement rear wheel for entry-level cyclist.,de6fb8f1-84aa-48d9-8a24-268695d3155e,2013-04-30 00:00:00
871,Aluminum alloy rim with stainless steel spokes; built for speed.,9728bb39-e515-47d8-bf9b-a3c8c2129e45,2013-04-30 00:00:00
872,Strong rear wheel with double-walled rim.,834081be-158f-41a6-8d0c-1e7b4d3abba3,2013-04-30 00:00:00
873,Excellent aerodynamic rims guarantee a smooth ride.,e055efc7-5f01-4d4d-b024-33ab5b6c6ad1,2013-04-30 00:00:00
885,Synthetic leather. Features gel for increased comfort.,fb8c8abb-4a51-4852-a870-6047b8834d22,2013-04-30 00:00:00
886,Designed to absorb shock.,f016e3d7-6177-43a3-8bff-160320966471,2014-02-08 10:32:17.973
887,Anatomic design for a full-day of riding in comfort. Durable leather.,baf38c0e-69bf-4f6c-805a-c7c1c6e9056a,2013-04-30 00:00:00
888,Lightweight foam-padded saddle.,76153f63-2a1c-4ee6-bbcf-0585d8ac8c55,2013-04-30 00:00:00
889,Rubber bumpers absorb bumps.,289fb4ca-b70a-458e-aafb-d13cb073058c,2013-04-30 00:00:00
890,Lightweight kevlar racing saddle. Leather.,dee34939-fc85-401a-930b-75ebebf7ffe1,2013-04-30 00:00:00
891,"Comfortable, ergonomically shaped gel saddle.",dd890d9d-0143-4476-b489-86d8d6094aa4,2013-04-30 00:00:00
892,New design relieves pressure for long rides.,3410c26d-01a6-416f-898a-43228fa1fad6,2013-04-30 00:00:00
893,Cut-out shell for a more comfortable ride.,19da3868-1559-462f-8098-00be37bdbedc,2013-04-30 00:00:00
903,"Comparible traction, less expensive wire bead casing.",b83be4a3-a95b-4d96-81de-16325f0df11e,2013-04-30 00:00:00
904,"Great traction, high-density rubber.",e917f093-2a28-496b-aebf-a704cd738038,2013-04-30 00:00:00
905,"Incredible traction, lightweight carbon reinforced.",1153e56d-b9e1-458e-a2bb-d6d6362c5b05,2013-04-30 00:00:00
906,Same great treads as more expensive tire with a less expensive wire bead casing.,2e1975de-21b8-4ec9-9998-6f39e14d476c,2013-04-30 00:00:00
907,Higher density rubber.,dcbc8264-c4d7-4b04-9531-92ab4c868c10,2013-04-30 00:00:00
908,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,61c5ea6b-1aca-4147-908e-5a7eb753e1bb,2013-04-30 00:00:00
909,High-density rubber.,ac6c74a4-9aed-4eb8-8800-efe07516fcdb,2013-04-30 00:00:00
912,Self-sealing tube.,b9f94c67-9b0a-42d4-be78-9401ac9aa833,2013-04-30 00:00:00
913,Conventional all-purpose tube.,2e55dcf6-fd71-4c7b-a631-1d62ae802190,2013-04-30 00:00:00
914,General purpose tube.,8c0661b2-e4dc-4333-8f32-9a5c8ca37181,2013-04-30 00:00:00
1020,"The LL Frame provides a safe comfortable ride, while offering superior bump absorption in a value-priced aluminum frame.",f4c70a6b-bbe8-4774-9d75-393d3f315e9b,2013-04-30 00:00:00
1062,"Made from the same aluminum alloy as our top-of-the line HL frame, the ML features a lightweight down-tube milled to the perfect diameter for optimal strength. Men's version.",93e456bb-0e31-4a33-b3bd-73936b8ac6cc,2013-04-30 00:00:00
1090,Our lightest and best quality aluminum frame made from the newest alloy; it is welded and heat-treated for strength. Our innovative design results in maximum comfort and performance.,7054c83c-bd9b-4e24-8476-4d1b37bb08df,2013-04-30 00:00:00
1146,Lightweight butted aluminum frame provides a more upright riding position for a trip around town.  Our ground-breaking design provides optimum comfort.,39a06654-8e9a-4b56-a943-fca2598bc444,2013-04-30 00:00:00
1182,The HL aluminum frame is custom-shaped for both good looks and strength; it will withstand the most rigorous challenges of daily riding. Men's version.,87a7609b-8cff-4b60-9af0-e0e5045e4a2d,2013-04-30 00:00:00
1183,Affordable light for safe night riding - uses 3 AAA batteries,23a26944-4a02-4add-962f-781866953d87,2013-04-30 00:00:00
1185,Aluminum cage is lighter than our mountain version; perfect for long distance trips.,75967899-b31b-4901-8efa-b5a065cdfd55,2013-04-30 00:00:00
1186,AWC logo water bottle - holds 30 oz; leak-proof.,ae1c08e7-51b0-45b3-8aa6-a534a0458cf6,2013-04-30 00:00:00
1187,"Carries 4 bikes securely; steel construction, fits 2 receiver hitch.",7eeb1ba1-4a5e-43cb-9597-4d35fe1f734c,2013-04-30 00:00:00
1188,Clip-on fenders fit most mountain bikes.,79b17d0a-4083-48b0-8202-4e7b3fb4b263,2013-04-30 00:00:00
1189,Combination of natural and synthetic fibers stays dry and provides just the right cushioning.,02933a22-6f9c-44ac-adc3-c1520c11c478,2013-04-30 00:00:00
1191,Designed for convenience. Fits in your pocket. Aluminum barrel. 160psi rated.,d978edc0-2433-4e19-9b28-d768262d52f2,2013-04-30 00:00:00
1192,"Designed for the AWC team with stay-put straps, moisture-control, chamois padding, and leg grippers.",20d76517-8d95-4537-ab70-ba77a71c70f1,2013-04-30 00:00:00
1193,"Durable, water-proof nylon construction with easy access. Large enough for weekend trips.",f9ba1d01-74fb-4392-8d83-352696cb6b7f,2013-04-30 00:00:00
1194,"Full padding, improved finger flex, durable palm, adjustable closure.",40e2c08f-fe0c-4835-9df5-f86dd0a59586,2013-04-30 00:00:00
1195,"Synthetic palm, flexible knuckles, breathable mesh upper. Worn by the AWC team riders.",ff92155c-7117-4fa6-8ac5-6b18a306698a,2013-04-30 00:00:00
1196,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",c65bee64-4dba-47ec-91cd-31356ba379e1,2013-04-30 00:00:00
1197,"Includes 8 different size patches, glue and sandpaper.",132dc806-e073-4c86-8eb8-7eb04e1193a6,2013-04-30 00:00:00
1199,"Light-weight, wind-resistant, packs to fit into a pocket.",53e49876-bfe9-43b6-9df6-f928390f1a8c,2013-04-30 00:00:00
1200,Men's 8-panel racing shorts - lycra with an elastic waistband and leg grippers.,7beb5453-7850-4c98-9d37-abbe84bee23d,2013-04-30 00:00:00
1201,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.,80ded62f-01c9-42f0-a576-45376c6a24a0,2013-04-30 00:00:00
1202,Rechargeable dual-beam headlight.,d179dec6-d07a-4bab-9f8f-5d4a33dbc60c,2013-04-30 00:00:00
1203,Rugged weatherproof headlight.,e2a63393-6441-43dd-960d-afe9c83213a0,2013-04-30 00:00:00
1205,"Short sleeve classic breathable jersey with superior moisture control, front zipper, and 3 back pockets.",58d86ede-0519-4263-a264-a2b5b01a6c7b,2013-04-30 00:00:00
1206,Simple and light-weight. Emergency patches stored in handle.,dce0274a-c78e-4a1d-9dc3-04a378c69d91,2013-04-30 00:00:00
1208,"Thin, lightweight and durable with cuffs that stay up.",9f436663-525d-4cc2-85ba-47d20bcea0ec,2013-04-30 00:00:00
1209,Tough aluminum cage holds bottle securly on tough terrain.,ad46eb52-a863-425e-b81b-16d2f76984c9,2013-04-30 00:00:00
1210,Traditional style with a flip-up brim; one-size fits all.,66f84b21-1a43-49d3-8883-09cdb77fffef,2013-04-30 00:00:00
1211,Unisex long-sleeve AWC logo microfiber cycling jersey,12f60253-f8e1-4f76-8142-6232396b8f17,2013-04-30 00:00:00
1212,"Universal fit, well-vented, lightweight , snap-on visor.",dbb1154b-0de8-4b6b-a8f9-2a1244aed183,2013-04-30 00:00:00
1213,"Versatile 70 oz hydration pack offers extra storage, easy-fill access, and a waist belt.",506d8a5b-e452-43b1-b764-4015e5e1237b,2013-04-30 00:00:00
1214,Warm spandex tights for winter riding; seamless chamois construction eliminates pressure points.,c0758c2e-8909-4cdf-a231-8a44623ae721,2013-04-30 00:00:00
1215,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle.",c05e5cb3-e639-4ae4-83fa-3fd61a4550bf,2013-04-30 00:00:00
1216,"Wraps to fit front and rear tires, carrier and 2 keys included.",41155353-e7a7-48bf-9c8e-b62372ca4738,2013-04-30 00:00:00
1360,الفولاذ الكرومولي,a2f30d46-e4bc-4878-83f2-9fd77b911d7e,2013-04-30 00:00:00
1361,فناجين من سبيكة الألومنيوم؛ ذات محور دوران كبير القطر.,e66d3c49-9f3d-44db-b7b4-5f7e959b332b,2013-04-30 00:00:00
1362,فناجين من سبيكة الألومنيوم ومحور أجوف.,31282742-a89d-435d-ba07-6ed1632e077c,2013-04-30 00:00:00
1363,ملائمة لأي نوع من أنواع القيادة، سواءً على الطرق الممهدة أو غير الممهدة. وتناسب أية ميزانية. نقل سرعات سلس مع قيادة مريحة.,e7f66b47-4e28-4419-8c6f-86cd94141608,2013-04-30 00:00:00
1364,توفر هذه الدراجة مستوى عاليًا من الأداء في حدود ميزانية معينة. فهي تتميز بسرعة الاستجابة وإمكانية القيام بمناورات، هذا بالإضافة إلى إمكاناتها الفائقة التي تمنح الثقة في القيادة على الطرق غير الممهدة.,87f3e5ca-460f-4156-817c-383eb6e6076c,2013-04-30 00:00:00
1365,لعاشقي قيادة الدراجات في الممرات غير الممهدة. دراجة شديدة التحمل يمكنك الانطلاق بها إلى أي مكان بما توفره لك من تحكم على الطرق الوعرة، كل هذا دون أن تتجاوز ميزانيتك.,b0650247-26ef-41e9-80f3-5ed0fa0523fa,2013-04-30 00:00:00
1366,لقيادة المحترفين في المناطق الريفية. دراجة مُثلى لجميع مستويات المنافسة. تستخدم نفس هيكل HL Frame المستخدم في طراز Mountain-100.,43e0d776-b12e-4285-9683-03e18b732a7c,2013-04-30 00:00:00
1367,دراجة سباقات مخصصة للقيادة في الجبال من أعلى طراز. تتضمن خيارات تحسين الأداء هيكل HL Frame الإبداعي، والتعليق الأمامي ذي السلاسة الفائقة، وقوة الجر المناسبة لجميع أنواع الأراضي.,5999900f-dd61-401f-a22b-36115c6853c8,2013-04-30 00:00:00
1368,مناسبة لجميع أنواع الرحلات على الطرق غير الممهدة. تناسب أية ميزانية.,31187662-2e03-4b90-960d-0b9c16300c4b,2013-04-30 00:00:00
1369,إنها دراجة مناسبة للمبتدئين من البالغين؛ فهي توفر قيادة مريحة سواءً على الطرق الوعرة أو في ساحة المدينة. يتميز محورا العجلتين وإطاريهما المعدنيين بسرعة التفكيك.,544d7d23-aaf5-46d7-953d-c6c85e7e239d,2013-04-30 00:00:00
1370,إنها دراجة ذات سعر مناسب لإمكاناتها كما تتمتع بالعديد من مزايا أعلى طرازات دراجاتنا. إنها تتمتع أيضًا بما نشتهر به من هيكل خفيف وصلب، وسرعة في التسارع.,016cbbe9-d51b-4a50-94cd-5ff2da577c5b,2013-04-30 00:00:00
1371,ولها نفس التقنية المتوفرة في جميع دراجات سلسلة الطريق لدينا، ولكن هيكل الدراجة قد تم تغيير حجمه ليناسب القيادة النسائية. إنها دراجة مثالية تصلح للعديد من الأغراض، وتناسب القيادة على الطرق العادية أو القيادة في السباقات.,e86b6c3d-6302-4b8a-b517-69d795772a1d,2013-04-30 00:00:00
1372,ولها نفس التقنية المتوفرة في جميع دراجات سلسلة الطريق لدينا. إنها دراجة مثالية متعددة الأغراض، تناسب القيادة على الطرق العادية أو القيادة في السباقات.,214c2a5f-ed22-4ea5-83f5-d2e78c417bdc,2013-04-30 00:00:00
1373,إنها دراجة تصلح للعديد من الرياضات وهي مصممة لتوفير أقصى فعالية للقيادة، كما تتميز بتصميم ابتكاري. يتيح لك تصميمها الديناميكي الهوائي إمكانية القيادة مع المحترفين، حيث إنها مزودة بتروس يمكنها الانطلاق داخل الطرق المرتفعة شديدة الانحدار.,79ee0aa2-7311-448c-8c0b-ac926f68a746,2013-04-30 00:00:00
1374,يمكنك باستخدام هذه الدراجة الأنيقة التي تتميز بخاصية الديناميكية الهوائية التدرب على مهارات مختلفة أو التسابق أو مجرد المشاركة في نشاط اجتماعي. وتوفر لك تقنية المقاعد المتقدمة الراحة طوال اليوم.,c46079c1-035d-490e-896c-2cb201aae357,2013-04-30 00:00:00
1375,يمكنكِ باستخدام هذه الدراجة الأنيقة التي تتميز بخاصية الديناميكية الهوائية والمصممة للنساء التدرب على مهارات مختلفة أو التسابق أو مجرد المشاركة في نشاط اجتماعي. وتوفر لكِ تقنية المقاعد المتقدمة الراحة طوال اليوم.,999f199e-4f89-4ebc-b6d4-2b6362785c3c,2013-04-30 00:00:00
1376,يوفر الهيكل المصنوع من سبيكة ألومنيوم قيادة قوية وخفيفة الحركة في نفس الوقت، سواءً كنت تتسابق في حلبة سباق دراجات أو في سباق يتطلب مهارات خاصة ـ بأحد النوادي ـ داخل طرقات ريفية.,3620eafb-c506-4be8-81f3-7b2dc5da904d,2013-04-30 00:00:00
1377,إنها الدراجة التي يقودها الفائزون بسباقات الدراجات. ونظرًا لأنه تم تطويرها عن طريق فريق سباق المحترفين Adventure Works Cycles، فقد تم تصميم هيكلها من الألومنيوم الخفيف المُعالج حراريًا، وتم تزويدها بنظام قيادة يسمح بالتحكم الدقيق في الدراجة.,54048ff2-dc9d-47ea-9b47-a2664076c1c7,2013-04-30 00:00:00
1378,إنها دراجة قيّمة تصلح لكافة المناسبات وهي تشتمل على ميزات الراحة والأمان الأساسية في منتجاتنا. وهي تتميز بإطارات أعرض وأكثر توازنًا من غيرها بما يلائم القيادة في أرجاء البلدة أو أثناء رحلات العطلات الأسبوعية.,0b079b06-51b9-43cb-a47c-9966bf38cb68,2013-04-30 00:00:00
1379,إن مقعد الدراجة المخصص المصنوع من نسيج البلش يجعلك لا تمل أبدًا من القيادة طوال اليوم، كما يوفر لك حامل الدراجة بتصميمه المحدّث مساحة كبيرة تستوعب أكثر من سلة وشنطة على الدراجة. وتحتفظ هذه الدراجة بتوازنها حتى عند تحميلها بالكامل.,272f545d-7bd5-408c-bcda-e636d2e1aadb,2013-04-30 00:00:00
1380,عجلة احتياطية خلفية مخصصة للقيادة في الجبال تناسب جميع الراكبين بدءًا من الراكب العادي إلى الراكب المحترف.,4a99e83c-8783-4ba0-845b-67faf448dcc7,2013-04-30 00:00:00
1381,إطاران معدنيان شديدا القوة يضمنان قوة التحمل.,ac4b8651-e417-4bc1-96e2-f93fb4477947,2013-04-30 00:00:00
1382,عجلة خلفية بديلة لراكبي الدراجات المبتدئين.,5b802484-944e-498f-a7e5-383a2dd585f5,2013-04-30 00:00:00
1383,إطار معدني مصنوع من سبيكة الألومنيوم بقضبان شعاعية من الفولاذ الذي لا يصدأ، مصمم لزيادة السرعة.,e6b304c2-dd3a-4cf3-b273-084765a0dff4,2013-04-30 00:00:00
1384,عجلة خلفية قوية بإطار معدني ذي طبقتين.,07adf9de-a65d-46d3-9fe3-4f7d49691066,2013-04-30 00:00:00
1385,إطاران معدنيان ممتازان يتميزان بخاصية الديناميكية الهوائية لضمان القيادة السلسلة.,486bfe62-f3a6-46a4-bf51-3a3237f18bd2,2013-04-30 00:00:00
1386,جلد صناعي. تحتوي على مواد جيلاتينية لتوفير مزيد من الراحة.,04df5a7f-ea75-48b0-aea0-9d3f1eb9eacc,2013-04-30 00:00:00
1387,الاستمتاع بالمظهر الأنيق والراحة عند السفر. لقد تم تصميم هذه الدراجة لتوفير أقصى درجات الراحة والأمان. يتيح لك النطاق الواسع من التروس إمكانية القيادة فوق كافة أنواع المرتفعات. توفر تركيبة سبيكة الألومنيوم عالية التقنية قوة تحمّل دون وزن إضافي.,c79321eb-e073-4904-a7c2-4d748ca67c8c,2013-04-30 00:00:00
1388,أداء فائق في نقل السرعات.,1675bc20-f1c4-4931-98e6-c749f9aa3cba,2013-04-30 00:00:00
1389,محور دوران صلب فائق الأداء.,826cfc0c-1928-4079-9592-c29403f1da3f,2013-04-30 00:00:00
1390,ذراع تدوير شديد القوة.,f2460ad3-bed7-4d51-8f8e-9d1e6e1446b4,2013-04-30 00:00:00
1391,مجموعة تدوير ثلاثية، وذراع تدوير ألومنيوم، وإمكانية نقل سرعات دون حدوث أخطاء.,bb27e47b-0611-42fd-ad89-cf8c48210dfd,2013-04-30 00:00:00
1392,تحتوي على بطانات (تيل) فرامل، تناسب كافة الظروف الجوية، مما يتيح إمكانية إيقاف فائقة وذلك بتطبيق مساحة أكبر من سطح الفرامل على الإطار المعدني.,4a406657-8d2a-4e5a-8048-320a80132133,2013-04-30 00:00:00
1393,تصميم عريض الوصلات.,c73f0ffa-2a79-40ad-977e-ca97dfb7aeb2,2013-04-30 00:00:00
1394,تصميم قوي يمتص الصدمات ويوفر قيادة أكثر دقة.,b89188a2-b5de-4db0-bce1-7d708e666647,2013-04-30 00:00:00
1395,شوكة طريق ماسكة للعجلة الأمامية مركبة ذات عمود توجيه مصنوع من الألومنيوم.,55581ead-8240-4429-8458-c847791fbb5b,2013-04-30 00:00:00
1396,شوكة طريق ماسكة للعجلة الأمامية من الكربون عالية الأداء ذات شعبتين مقوسين.,bc8dc85e-c324-45d8-a686-69253ad69333,2013-04-30 00:00:00
1397,إنها تأتي ضمن أفضل منتجاتنا فنيًا حيث تستخدم نفس تقنية الهيكل الابتكارية المستخدمة في هيكل ML المصنوع من الألومنيوم.,2114a108-2d0e-442b-91ba-5adb5c266544,2013-04-30 00:00:00
1398,إن هيكل ML هو هيكل مصنوع من الألومنيوم مُعالج حراريًا ومصمم بنفس تفاصيل وجودة هيكل HL الخاص بنا. وهو يوفر أداءً فائقًا. الطراز الرجالي.,424c1dcb-8cd7-4dda-ba07-b9dec5d70652,2013-04-30 00:00:00
1399,إن هيكل ML هو هيكل مصنوع من الألومنيوم مُعالج حراريًا ومصمم بنفس تفاصيل وجودة هيكل HL الخاص بنا. وهو يوفر أداءً فائقًا. الطراز النسائي.,b7c67d63-45e0-4452-871b-cb649fcdac8a,2013-04-30 00:00:00
1400,وقد تم تصنيع كل هيكل من تلك الهياكل يدويًا في مصنعنا بمدينة Bothel بحيث يصل اتساع قطره وسمكه إلى أفضل قيمتين مطلوبتين لهيكل دراجة مخصصة للقيادة في الجبال من الدرجة الأولى. ويتميز هيكل الألومنيوم الملحوم والُمعالج حراريًا بأنبوبة ذات قطر كبير يمتص الصدمات.,42005f6e-8be7-46b0-817e-7afcb24dbacb,2013-04-30 00:00:00
1401,يحتوي هيكل ML على أنبوبة سفلية خفيف الوزن تم تشكيلها بحيث تحتوي على أفضل قطر يوفر أعلى درجات القوة، وقد تم صناعتها من نفس سبيكة الألومنيوم التي تم صناعة هيكل HL - الذي يعد من أعلى طرازاتنا - منها. الطراز النسائي.,11b988c5-9a89-41ce-a2a5-f7de11b99025,2013-04-30 00:00:00
