callid,agentid,customerid,pickedup,duration,productsold
125,3,476,1,205,0
126,0,752,0,0,0
127,8,677,1,107,0
128,0,2,1,152,0
129,1,599,1,138,0
130,2,436,0,0,0
131,9,608,0,0,0
132,7,122,1,144,1
133,2,97,1,304,0
134,8,430,1,190,0
135,4,784,1,221,0
136,2,436,1,232,0
137,4,248,0,0,0
138,9,547,0,0,0
139,6,508,0,0,0
140,4,546,0,0,0
141,9,88,0,0,0
142,3,981,0,0,0
143,3,36,0,0,0
144,0,52,0,0,0
145,9,5,0,0,0
146,1,995,1,246,0
147,3,718,0,0,0
148,3,489,1,132,1
149,8,819,1,214,0
150,5,926,1,135,0
151,9,9,1,173,0
152,6,842,1,187,1
153,3,722,1,236,0
154,7,917,1,179,0
155,0,319,0,0,0
156,6,221,1,176,0
157,2,586,0,0,0
158,0,633,1,150,0
159,1,936,1,155,0
160,6,402,1,158,1
161,2,940,1,196,0
162,7,671,1,197,0
163,3,66,1,214,0
164,2,317,0,0,0
165,2,619,0,0,0
166,7,446,1,121,1
167,5,301,0,0,0
168,8,666,1,193,0
169,4,333,0,0,0
170,5,215,0,0,0
171,9,811,1,235,0
172,8,669,0,0,0
173,10,278,0,0,0
174,2,239,1,160,1
175,10,241,1,206,0
176,8,999,0,0,0
177,5,716,1,149,0
178,9,364,1,204,1
179,4,188,1,161,1
180,7,691,1,189,0
181,8,768,0,0,0
182,3,126,0,0,0
183,3,921,0,0,0
184,8,722,1,173,0
185,0,281,1,171,0
186,1,616,1,259,1
187,8,703,0,0,0
188,0,295,0,0,0
189,3,987,1,189,0
190,4,182,1,160,1
191,2,724,0,0,0
192,9,769,1,114,1
193,5,133,0,0,0
194,9,148,1,114,0
195,5,763,1,142,0
196,1,274,0,0,0
197,3,771,0,0,0
198,0,995,1,162,0
199,0,120,1,206,1
200,10,757,0,0,0
201,10,397,1,168,0
202,5,43,1,223,0
203,1,600,1,196,1
204,5,790,1,146,1
205,2,103,0,0,0
206,7,35,1,155,0
207,4,157,1,179,1
208,5,556,1,241,0
209,4,485,0,0,0
210,1,460,1,212,1
211,1,234,1,192,0
212,5,241,1,186,0
213,3,117,1,216,1
214,2,650,0,0,0
215,4,339,1,162,0
216,7,54,0,0,0
217,0,912,1,196,1
218,7,212,1,202,0
219,6,62,1,277,0
220,0,317,1,119,0
221,10,882,1,201,1
222,10,373,1,290,0
223,8,954,1,146,1
224,3,127,1,156,0
225,7,903,0,0,0
226,9,813,1,136,0
227,4,881,1,280,0
228,3,370,1,158,1
230,8,507,1,180,0
231,4,55,1,108,0
232,1,951,0,0,0
233,9,518,0,0,0
234,7,962,0,0,0
235,9,404,0,0,0
236,9,391,1,133,1
237,6,560,1,142,0
238,5,891,1,169,1
239,10,797,1,164,1
240,5,993,1,85,0
241,6,861,1,280,1
242,10,261,0,0,0
243,3,280,1,189,0
244,6,586,0,0,0
245,1,603,1,244,1
246,0,727,1,159,0
247,6,471,0,0,0
248,7,264,0,0,0
249,3,38,1,107,0
250,3,477,0,0,0
251,4,601,1,177,0
252,1,576,1,202,0
253,1,34,1,127,0
254,6,685,1,95,0
255,1,55,0,0,0
256,3,631,0,0,0
257,3,667,1,151,0
258,10,27,1,202,1
259,3,432,0,0,0
260,1,116,0,0,0
261,10,218,1,209,0
262,5,856,1,221,0
263,10,886,0,0,0
264,6,322,1,193,0
265,2,659,1,140,0
266,2,251,1,210,1
267,8,232,0,0,0
268,2,536,1,238,0
269,3,758,0,0,0
270,4,693,1,290,0
271,4,800,1,181,1
273,5,447,0,0,0
274,7,987,0,0,0
275,3,906,0,0,0
276,10,855,1,229,0
277,1,376,1,274,0
278,1,289,0,0,0
279,4,338,1,139,0
280,0,433,1,247,0
281,4,165,1,190,0
282,5,843,1,125,1
283,8,7,1,207,0
284,0,60,1,237,0
285,10,976,1,176,1
286,8,231,1,167,0
287,1,428,1,224,0
288,4,587,1,211,0
289,5,151,0,0,0
290,0,303,1,196,0
291,1,172,1,167,0
292,3,630,1,245,1
293,1,84,1,246,0
294,10,610,1,92,0
295,4,343,0,0,0
296,3,615,0,0,0
297,2,404,1,177,1
298,10,682,0,0,0
299,3,270,1,161,0
300,5,242,0,0,0
301,6,559,1,223,1
302,4,533,1,200,0
303,4,507,1,159,0
304,4,417,1,137,0
305,3,627,0,0,0
306,2,877,1,223,0
307,8,548,1,180,0
308,1,467,1,243,0
309,9,25,1,223,1
310,5,70,1,182,1
311,6,517,1,182,0
312,5,219,0,0,0
313,4,197,1,248,0
314,5,581,0,0,0
315,8,40,0,0,0
316,7,723,1,199,0
317,8,393,1,222,0
318,10,595,0,0,0
319,4,303,1,222,1
320,4,763,1,207,0
322,7,929,1,147,0
323,3,454,1,217,0
324,0,780,1,214,0
325,10,434,0,0,0
326,0,224,1,242,1
327,0,444,1,163,0
328,4,279,1,222,1
329,8,232,0,0,0
330,2,333,0,0,0
331,7,206,0,0,0
332,7,881,1,138,0
333,10,713,1,173,1
334,1,95,1,167,1
335,10,291,1,183,0
336,0,910,1,245,0
337,1,425,1,84,1
338,10,402,1,164,1
339,0,564,1,259,0
340,1,467,0,0,0
341,9,106,0,0,0
342,4,771,1,247,0
343,10,490,0,0,0
344,6,59,0,0,0
345,3,941,1,192,0
346,10,986,1,191,1
347,4,833,1,125,0
348,7,184,1,136,1
349,4,915,1,199,0
350,10,160,0,0,0
351,7,414,1,250,0
352,10,898,0,0,0
353,9,272,0,0,0
354,6,784,0,0,0
355,8,359,0,0,0
356,3,14,1,151,1
357,2,243,1,145,1
358,5,616,0,0,0
359,8,251,1,178,0
360,5,532,1,170,1
361,5,951,1,194,1
362,0,995,0,0,0
363,6,194,0,0,0
364,3,86,1,278,1
365,8,177,1,126,0
366,10,108,1,216,0
367,10,651,1,220,0
368,4,267,0,0,0
369,10,221,1,150,0
370,7,948,0,0,0
371,8,850,1,196,1
372,9,537,0,0,0
373,0,26,1,134,0
374,8,628,1,209,1
375,3,404,0,0,0
376,1,553,1,165,0
377,0,442,0,0,0
378,7,219,1,132,0
379,5,274,0,0,0
380,8,10,1,203,0
381,4,757,1,129,0
382,8,771,1,216,1
383,10,840,1,127,0
384,3,863,1,196,0
385,9,898,1,164,0
386,1,405,0,0,0
387,8,896,1,218,0
388,0,254,1,76,0
389,4,567,1,204,1
390,4,543,1,154,0
391,6,806,1,256,0
392,2,581,1,194,1
393,0,539,1,210,0
394,3,417,0,0,0
395,0,829,1,183,1
396,4,910,0,0,0
397,10,294,1,199,1
398,8,750,1,189,1
399,9,533,1,158,0
400,0,741,0,0,0
401,0,196,0,0,0
402,9,654,1,139,0
403,4,732,1,205,0
404,4,350,1,169,1
405,10,961,1,90,0
406,8,34,1,153,0
407,0,474,0,0,0
408,8,298,1,236,1
409,2,312,1,213,0
410,3,373,1,254,0
411,5,701,0,0,0
412,9,73,0,0,0
413,5,616,0,0,0
414,4,305,1,248,0
415,6,926,1,208,0
416,9,130,1,142,0
417,8,427,1,198,0
418,8,127,1,113,1
419,3,608,1,137,0
420,1,674,1,163,0
421,1,488,0,0,0
422,3,214,1,163,1
423,3,151,1,194,0
424,0,679,1,62,1
425,7,514,1,330,0
426,5,704,1,210,0
427,3,60,1,76,0
428,4,793,1,113,0
429,2,953,0,0,0
430,0,217,1,191,0
431,10,76,0,0,0
432,1,963,1,218,0
433,6,839,0,0,0
434,1,547,1,155,1
435,6,625,1,172,0
436,5,963,1,173,1
437,4,474,1,232,0
438,7,381,1,286,0
439,6,531,1,207,1
440,10,424,1,207,1
441,6,653,1,179,0
442,9,90,0,0,0
443,8,10,1,210,0
444,7,127,1,169,0
445,2,179,1,201,0
446,0,930,1,119,1
447,0,722,1,210,1
448,8,479,1,179,0
449,1,760,0,0,0
450,0,275,0,0,0
451,6,506,1,196,0
452,10,433,0,0,0
453,6,700,1,122,0
454,9,784,1,200,1
455,6,60,1,215,0
456,6,77,1,238,0
457,4,928,0,0,0
458,10,870,0,0,0
459,2,180,1,241,0
460,6,765,1,140,0
461,1,474,0,0,0
462,7,425,1,142,1
463,2,799,1,203,1
464,10,214,1,171,0
465,7,165,1,197,0
466,7,758,1,223,0
467,2,945,1,226,1
468,1,104,0,0,0
469,0,144,1,170,0
470,1,614,1,318,0
471,3,97,1,181,0
472,4,584,1,217,0
473,9,326,0,0,0
474,8,911,1,118,0
475,0,111,1,82,0
476,2,683,1,154,0
477,1,379,0,0,0
478,3,265,1,244,0
479,10,921,1,224,1
480,1,343,1,216,0
481,9,62,0,0,0
482,8,883,0,0,0
483,8,194,1,68,1
484,8,853,1,111,1
485,6,811,0,0,0
486,2,839,1,164,0
487,10,100,0,0,0
488,2,422,1,200,1
489,0,731,1,142,1
490,3,26,0,0,0
491,4,401,1,247,0
492,3,438,0,0,0
493,5,216,1,265,0
494,3,768,0,0,0
495,3,739,1,210,0
496,2,817,1,133,0
497,5,535,0,0,0
498,2,206,1,168,1
499,4,747,1,225,0
500,8,187,1,229,0
501,6,245,1,139,1
502,2,77,1,221,1
503,4,444,1,177,0
504,7,652,1,155,0
505,8,643,1,182,1
506,1,881,1,154,0
507,2,1000,0,0,0
508,0,813,1,199,1
509,3,743,1,103,0
510,7,5,1,232,1
511,9,622,1,119,0
512,10,400,1,161,1
513,3,389,0,0,0
514,1,194,1,336,0
515,4,892,1,160,1
516,8,263,1,170,0
517,0,642,1,129,1
518,10,309,0,0,0
519,10,257,1,230,1
520,8,395,0,0,0
521,2,832,0,0,0
522,9,46,0,0,0
523,5,690,1,137,0
524,10,177,0,0,0
525,9,816,1,199,1
526,0,950,1,117,0
527,2,551,1,242,0
528,1,220,1,128,1
529,4,409,1,249,0
530,9,68,1,215,1
531,2,54,1,164,1
532,9,111,1,165,1
533,4,520,0,0,0
534,4,833,1,188,0
535,8,519,1,143,1
536,5,190,0,0,0
537,10,696,1,125,0
538,3,639,1,209,0
539,4,519,1,143,0
540,0,492,0,0,0
541,3,882,1,222,1
542,8,79,1,123,1
543,7,779,1,193,0
544,8,906,1,255,0
545,3,541,1,123,0
546,6,387,1,199,0
547,0,61,0,0,0
548,1,587,1,253,0
549,3,443,1,182,1
550,5,666,1,202,1
551,3,164,1,204,0
552,10,673,1,300,0
553,1,0,0,0,0
554,10,710,0,0,0
555,7,680,1,216,0
556,5,457,1,187,0
557,5,395,0,0,0
558,4,150,0,0,0
559,9,748,1,268,0
560,10,115,1,298,0
561,3,763,1,164,0
562,2,256,0,0,0
563,6,624,0,0,0
564,8,487,1,184,1
565,6,429,1,244,0
566,5,878,0,0,0
567,1,930,1,235,0
568,8,96,1,197,0
569,8,835,1,185,0
570,9,519,1,171,0
571,8,541,1,191,1
572,9,454,1,200,1
573,6,346,1,184,1
574,1,247,0,0,0
575,10,320,1,171,0
576,6,222,0,0,0
577,8,404,0,0,0
578,8,676,1,324,1
579,8,778,1,248,0
580,2,963,0,0,0
581,9,299,0,0,0
582,4,132,0,0,0
583,3,413,0,0,0
584,6,588,1,183,0
585,3,101,1,113,0
586,2,582,0,0,0
587,1,138,1,213,0
588,9,127,0,0,0
589,10,520,1,140,0
590,3,559,1,213,0
591,4,603,1,263,0
592,0,916,1,150,0
593,1,969,1,67,0
594,5,769,1,264,0
595,5,992,0,0,0
596,1,423,1,143,0
597,8,890,0,0,0
598,1,176,1,216,0
599,8,558,1,141,1
600,8,617,1,176,0
601,5,254,1,272,0
602,7,423,1,177,0
603,5,636,1,137,0
604,1,518,1,182,0
605,5,819,1,230,0
606,8,903,1,198,1
607,9,812,0,0,0
608,0,494,0,0,0
609,6,476,0,0,0
610,7,145,0,0,0
611,6,329,1,225,0
612,1,122,1,206,1
613,9,811,0,0,0
614,10,823,0,0,0
615,3,280,0,0,0
616,3,634,0,0,0
617,1,96,0,0,0
618,2,529,1,130,0
619,7,952,0,0,0
620,8,144,1,179,1
621,2,283,1,169,0
622,2,84,1,195,0
623,9,429,1,206,1
624,0,771,1,253,0
625,3,373,0,0,0
626,7,696,0,0,0
627,5,937,1,104,1
628,4,15,1,89,1
629,9,605,0,0,0
630,3,387,1,162,0
631,2,210,1,141,0
632,7,839,1,62,0
633,9,935,1,246,0
634,4,998,1,109,0
635,9,550,1,193,1
636,9,770,1,222,1
637,3,887,1,119,1
638,2,221,0,0,0
639,10,540,1,241,0
640,3,558,1,267,0
641,8,890,1,302,0
642,6,816,1,91,1
643,6,404,1,205,0
644,9,806,1,108,0
645,0,760,1,150,0
646,6,715,1,131,0
647,3,675,1,223,1
648,8,557,1,122,0
649,2,993,1,220,1
650,1,897,1,254,1
651,6,473,1,200,0
652,3,756,1,155,1
653,6,73,1,130,1
654,9,127,0,0,0
655,10,458,1,161,1
656,8,520,1,169,1
657,10,52,0,0,0
658,4,907,1,150,0
659,0,506,1,103,1
660,4,19,1,152,1
661,2,106,1,228,0
662,4,667,0,0,0
663,7,806,0,0,0
664,2,506,0,0,0
665,6,921,1,123,1
666,6,216,1,187,0
667,1,26,1,188,0
668,10,433,1,108,0
669,10,604,0,0,0
670,2,407,1,159,0
671,1,357,1,191,0
672,2,288,1,102,1
673,2,329,1,188,0
674,10,111,1,165,0
675,0,2,1,208,0
676,7,886,1,186,1
677,5,949,1,192,0
678,1,695,1,168,0
679,5,942,1,175,0
680,0,837,0,0,0
681,8,122,1,221,1
682,1,0,1,244,0
683,8,18,1,236,1
684,3,909,1,98,1
685,8,431,0,0,0
686,2,561,0,0,0
687,10,587,0,0,0
688,4,519,0,0,0
689,4,881,1,49,1
690,9,829,1,177,0
691,8,210,1,211,0
692,4,303,1,177,0
693,5,678,1,107,0
694,4,785,1,265,0
695,2,434,0,0,0
696,8,623,1,179,0
697,0,933,1,99,0
698,9,66,1,106,0
699,1,701,1,115,1
700,10,305,1,156,0
701,5,700,1,132,0
702,6,742,1,199,1
703,4,216,0,0,0
704,7,418,1,176,1
705,5,27,1,219,0
706,8,492,0,0,0
707,0,601,1,263,0
708,5,991,1,160,1
709,10,333,1,228,1
710,4,476,1,176,1
711,2,156,1,160,0
712,10,411,1,210,0
713,7,551,0,0,0
714,5,942,0,0,0
715,4,499,1,157,1
716,6,169,0,0,0
717,9,464,0,0,0
718,1,592,1,238,0
719,2,201,1,156,0
720,2,625,1,113,1
721,10,593,1,159,0
722,4,977,1,191,0
723,4,636,0,0,0
724,2,108,1,218,0
725,0,244,1,190,1
726,6,895,1,177,0
727,5,830,0,0,0
728,9,796,0,0,0
729,0,618,1,239,0
730,4,528,1,178,0
731,0,827,0,0,0
732,7,258,1,219,0
733,2,976,0,0,0
734,0,778,1,186,1
735,1,156,1,190,0
736,3,899,1,54,1
737,8,284,0,0,0
738,3,812,1,199,0
739,0,705,1,270,1
740,1,689,0,0,0
741,1,996,1,196,1
742,9,529,1,224,0
743,6,922,1,147,0
744,4,519,1,326,1
745,6,142,1,43,1
746,9,221,0,0,0
747,2,202,0,0,0
748,7,781,1,262,0
749,6,154,0,0,0
750,6,457,1,110,1
751,6,211,1,171,0
752,10,30,1,156,0
753,5,813,1,264,0
754,3,285,1,282,0
755,5,35,1,220,0
756,5,993,1,179,0
757,3,248,0,0,0
758,5,89,0,0,0
759,2,727,1,146,0
760,5,942,0,0,0
761,6,656,1,168,0
762,0,101,1,178,0
763,10,402,1,281,0
764,9,144,1,194,0
765,0,650,1,186,0
766,9,469,1,223,0
767,4,992,1,156,0
768,3,102,0,0,0
769,0,738,1,184,0
770,4,805,1,181,1
771,1,60,1,125,0
772,7,748,1,180,0
773,3,106,1,101,0
774,4,609,1,105,0
775,9,56,0,0,0
776,3,515,0,0,0
777,6,388,1,223,0
778,10,18,1,118,0
779,2,766,1,211,0
780,9,359,1,239,1
781,7,735,1,133,0
782,2,9,1,147,0
783,1,836,0,0,0
784,1,420,1,176,0
785,3,414,1,168,1
786,5,412,0,0,0
787,8,605,1,198,0
788,6,715,0,0,0
789,1,548,0,0,0
790,5,380,1,121,1
791,10,151,0,0,0
792,0,310,0,0,0
793,9,824,1,133,0
794,10,826,1,139,1
795,2,984,0,0,0
796,1,947,1,169,0
797,0,332,0,0,0
798,0,486,1,126,0
799,1,416,1,187,0
800,1,716,1,153,0
801,9,382,1,233,0
802,2,478,1,204,0
803,6,338,0,0,0
804,9,380,0,0,0
805,6,737,1,159,0
806,10,352,1,185,0
807,8,608,0,0,0
808,10,447,1,223,0
809,0,251,0,0,0
810,2,687,1,213,0
811,0,26,1,163,0
812,4,864,0,0,0
813,10,911,1,180,0
814,7,888,1,190,1
815,2,895,0,0,0
816,9,498,1,205,0
817,7,303,0,0,0
818,5,902,1,165,0
819,2,891,1,144,0
820,8,735,0,0,0
821,1,823,0,0,0
822,2,363,1,189,0
823,9,969,1,199,0
824,10,287,1,200,0
825,5,153,1,184,0
826,10,731,1,217,0
827,1,973,0,0,0
828,10,896,1,65,1
829,6,30,0,0,0
830,4,337,1,159,1
831,9,404,0,0,0
832,7,966,1,196,0
833,4,788,1,192,0
834,10,692,0,0,0
835,0,312,1,128,0
836,1,529,0,0,0
837,9,701,1,182,0
838,9,234,1,216,1
839,5,806,1,246,0
840,7,244,1,302,0
841,6,665,1,117,0
842,1,640,0,0,0
843,9,519,1,162,0
844,0,519,1,97,1
845,6,201,1,149,0
846,7,40,1,121,0
847,9,360,0,0,0
848,5,461,1,170,0
849,10,831,0,0,0
850,6,768,1,149,1
851,8,475,0,0,0
852,0,53,1,171,0
853,2,298,1,192,0
854,6,783,1,144,0
855,2,672,0,0,0
856,7,482,1,287,1
857,0,631,1,169,1
858,4,94,0,0,0
859,6,361,0,0,0
860,5,414,1,194,0
861,2,289,1,156,1
862,10,349,0,0,0
863,3,956,1,198,0
864,0,280,1,83,1
865,5,102,1,240,0
866,8,366,1,196,0
867,10,596,0,0,0
868,6,849,1,219,1
869,10,749,1,165,1
870,2,999,1,201,1
871,2,264,0,0,0
872,7,154,1,111,0
873,10,922,1,215,0
874,3,572,0,0,0
875,6,616,1,242,1
876,0,877,0,0,0
877,3,679,1,114,0
878,7,269,1,189,0
879,10,67,1,60,0
880,2,503,1,197,1
881,2,164,1,196,0
882,2,329,0,0,0
883,6,190,0,0,0
884,5,43,1,198,0
885,3,637,1,164,0
886,9,432,0,0,0
887,8,78,1,231,0
888,5,822,0,0,0
889,9,256,1,209,0
890,8,593,1,136,1
891,2,658,1,205,0
892,2,595,0,0,0
893,4,918,1,259,1
894,1,813,1,225,0
895,7,165,1,221,0
896,8,840,1,158,0
897,7,332,1,161,1
898,1,294,1,186,0
899,9,22,1,120,0
900,10,171,1,235,0
901,1,938,1,208,1
902,5,661,1,160,0
903,10,626,0,0,0
904,4,417,0,0,0
905,2,227,1,212,1
906,5,1,1,145,0
907,5,959,1,203,0
908,2,940,1,130,1
909,8,209,1,143,0
910,1,174,1,123,1
911,10,287,1,141,0
912,0,529,1,202,0
913,6,815,1,123,1
914,1,890,1,142,0
915,10,219,1,153,0
916,4,815,1,217,0
917,8,224,1,244,0
918,0,471,1,143,0
919,0,631,0,0,0
920,4,382,0,0,0
921,8,237,0,0,0
922,1,614,1,198,0
923,2,217,1,185,0
924,5,8,0,0,0
925,0,494,1,233,1
926,8,581,0,0,0
927,8,511,1,170,1
928,6,712,1,208,0
929,6,258,1,173,0
930,6,435,1,296,1
931,3,288,0,0,0
932,4,590,1,195,0
933,4,228,0,0,0
934,0,925,1,114,0
935,1,247,1,187,0
936,3,703,1,219,0
937,6,346,1,185,1
938,6,177,0,0,0
939,4,955,1,107,0
940,5,796,1,155,1
941,0,844,1,161,1
942,4,716,0,0,0
943,0,371,1,132,0
944,8,376,1,130,0
945,2,566,1,152,0
946,1,242,0,0,0
947,0,825,1,227,1
948,3,10,1,123,0
949,4,481,0,0,0
950,0,645,0,0,0
951,7,998,1,210,1
952,5,409,0,0,0
953,9,754,0,0,0
954,8,758,1,133,1
955,0,103,1,233,0
956,5,220,0,0,0
957,10,525,1,301,0
958,2,146,1,239,0
959,7,644,0,0,0
960,7,481,1,167,0
961,8,690,1,122,0
962,3,311,0,0,0
963,7,132,0,0,0
964,10,268,0,0,0
965,3,952,1,237,0
966,1,220,1,180,1
967,7,759,1,178,0
968,4,86,1,117,0
969,2,233,1,268,1
970,5,271,1,178,0
971,4,288,1,224,1
972,4,37,1,68,1
973,5,426,1,266,0
974,7,640,1,193,1
975,3,849,1,82,0
976,5,700,1,206,0
977,2,577,1,228,0
978,1,610,1,214,0
979,10,327,0,0,0
980,3,486,1,104,1
981,5,798,0,0,0
982,2,166,0,0,0
983,0,29,1,98,1
984,4,782,1,161,0
985,3,747,0,0,0
986,2,512,1,105,0
987,9,155,1,57,0
988,1,866,1,72,1
989,3,493,0,0,0
990,4,919,1,215,1
991,3,988,1,133,0
992,0,342,1,215,1
993,5,982,1,249,0
994,8,88,0,0,0
995,7,118,1,218,0
996,6,217,1,160,1
997,5,518,1,155,0
998,4,712,0,0,0
999,1,122,0,0,0
1000,7,245,1,181,1
1001,3,972,1,240,0
1002,5,840,1,115,1
1003,6,588,0,0,0
1004,0,214,0,0,0
1005,4,54,1,141,0
1006,3,213,1,96,1
1007,6,611,1,245,1
1008,6,428,0,0,0
1009,10,89,1,202,0
1010,1,856,1,185,1
1011,4,523,1,221,1
1012,5,172,1,136,1
1013,10,311,1,208,1
1014,2,639,0,0,0
1015,7,59,0,0,0
1016,2,664,0,0,0
1017,10,810,0,0,0
1018,10,55,1,164,0
1019,8,181,1,232,0
1020,4,867,0,0,0
1021,3,615,0,0,0
1022,2,951,0,0,0
1023,0,52,1,139,0
1024,9,907,1,226,1
1025,5,405,1,248,0
1026,3,375,1,144,0
1027,2,233,1,120,0
1028,9,982,1,176,1
1029,3,5,0,0,0
1030,8,754,1,223,0
1031,1,890,1,258,0
1032,8,916,1,206,0
1033,10,48,1,239,1
1034,10,67,0,0,0
1035,8,267,1,175,0
1036,6,179,1,149,0
1037,10,251,1,193,0
1038,3,587,1,202,0
1039,10,385,0,0,0
1040,10,164,1,169,1
1041,3,229,1,219,1
1042,7,241,0,0,0
1043,2,706,0,0,0
1044,3,776,1,142,0
1045,8,297,0,0,0
1046,2,563,1,206,0
1047,5,437,1,173,0
1048,10,20,0,0,0
1049,3,505,0,0,0
1050,9,29,1,183,1
1051,8,40,1,175,0
1052,5,423,1,152,1
1053,3,236,1,92,1
1054,0,660,1,123,1
1055,0,387,1,95,0
1056,10,272,1,165,0
1057,7,497,1,248,0
1058,8,948,1,128,0
1059,0,543,1,190,1
1060,0,353,1,136,0
1061,1,941,0,0,0
1062,4,315,1,238,0
1063,0,727,0,0,0
1064,1,344,1,170,1
1065,10,107,1,244,0
1066,9,617,1,201,1
1067,3,413,0,0,0
1068,0,922,0,0,0
1069,2,116,0,0,0
1070,9,256,1,197,0
1071,0,463,1,111,1
1072,1,783,0,0,0
1073,1,362,1,113,1
1074,9,356,0,0,0
1075,7,330,1,184,1
1076,4,922,1,227,0
1077,9,252,1,204,1
1078,9,851,1,247,0
1079,9,586,0,0,0
1080,0,926,1,253,0
1081,10,814,1,218,1
1082,2,145,0,0,0
1083,3,538,0,0,0
1084,9,889,1,149,0
1085,7,894,1,146,0
1086,2,234,1,131,0
1087,8,569,1,90,0
1088,5,429,1,179,0
1089,4,684,0,0,0
1090,3,21,0,0,0
1091,7,219,0,0,0
1092,3,673,1,199,0
1093,0,503,1,197,1
1094,2,386,1,137,0
1095,7,255,0,0,0
1096,9,289,0,0,0
1097,6,738,1,298,1
1098,4,727,1,194,0
1099,9,134,0,0,0
1100,1,637,0,0,0
1101,0,15,0,0,0
1102,1,232,1,234,1
1103,5,383,1,176,0
1104,7,681,1,179,1
1105,0,857,1,165,0
1106,0,28,1,253,0
1107,3,48,1,138,1
1108,9,455,1,206,1
1109,3,544,1,178,1
1110,7,805,1,208,0
1111,3,982,1,198,0
1112,2,970,1,110,1
1113,7,821,1,109,0
1114,2,393,1,263,0
1115,5,488,0,0,0
1116,1,828,1,236,0
1117,6,711,0,0,0
1118,6,196,1,178,0
1119,7,213,1,191,1
1120,5,2,0,0,0
1121,5,724,1,235,0
1122,1,390,0,0,0
1123,9,398,1,227,0
1124,4,808,0,0,0
1125,2,683,1,164,0
1126,10,493,1,159,1
1127,6,32,1,136,1
1128,1,54,0,0,0
1129,9,528,0,0,0
1130,4,282,1,297,0
1131,7,321,1,159,0
1132,3,715,1,200,0
1133,2,582,1,363,0
1134,1,506,1,229,0
1135,0,262,1,178,0
1136,7,602,0,0,0
1137,8,11,1,168,0
1138,10,84,0,0,0
1139,8,912,1,116,0
1140,5,66,1,152,0
1141,2,832,1,139,1
1142,2,401,0,0,0
1143,6,591,1,243,0
1144,3,847,1,164,0
1145,8,713,1,160,0
1146,6,514,1,176,0
1147,1,152,0,0,0
1148,3,67,1,216,0
1149,5,942,0,0,0
1150,2,385,1,126,0
1151,4,190,1,111,1
